Dataset;Model;ML Accuracy;FOLD-R++ Accuracy;Hybrid Accuracy;;ML Precision;FOLD-R++ Precision;Hybrid Precision;ML Recall;FOLD-R++ Recall;Hybrid Recall;ML F1 Score;FOLD-R++ F1 Score;Hybrid F1 Score;ML Accuracy Std;FOLD-R++ Accuracy Std;Hybrid Accuracy Std;ML Precision Std;FOLD-R++ Precision Std;Hybrid Precision Std;ML Recall Std;FOLD-R++ Recall Std;Hybrid Recall Std;ML F1 Score Std;FOLD-R++ F1 Score Std;Hybrid F1 Score Std
kidney;FOLD-R++ Pure;;0,62;;0,00%;;0,614803229;;;1;;;0,760069987;;;0,05809475;;;0,058073826;;;0;;;0,042945871;
kidney;KNN;0,89125;0,62;0,89125;0,00%;0,967911033;0,614803229;0,967911033;0,848165596;1;0,848165596;0,903621213;0,760069987;0,903621213;0,021286733;0,05809475;0,021286733;0,021167892;0,058073826;0,021167892;0,034558805;0;0,034558805;0,020730158;0,042945871;0,020730158
kidney;Neural Network;0,9525;0,62;0,955;0,25%;0,958751459;0,614803229;0,957106841;0,962651056;1;0,968921959;0,960516415;0,760069987;0,962773121;0,026874192;0,05809475;0,022973415;0,018668044;0,058073826;0,021742932;0,03168167;0;0,025841157;0,022039721;0,042945871;0,018696215
kidney;Random Forest;1;0,62;0,99875;-0,12%;1;0,614803229;0,99787234;1;1;1;1;0,760069987;0,998924731;0;0,05809475;0,003952847;0;0,058073826;0,00672825;0;0;0;0;0,042945871;0,003400299
kidney;SVM;0,91375;0,62;0,93;1,63%;0,958380584;0,614803229;0,94593278;0,896566424;1;0,937599965;0,926022708;0,760069987;0,941513995;0,025987444;0,05809475;0,017873009;0,016835058;0,058073826;0,016265004;0,038847717;0;0,027503915;0,023576128;0,042945871;0,016567458
breastw;FOLD-R++ Pure;;0,945;;;;0,907444472;;;0,936953325;;;0,921359245;;;0,021041477;;;0,046527682;;;0,025236432;;;0,029629657;
breastw;KNN;0,944285714;0,945;0,944285714;0,00%;0,925558369;0,907444472;0,925558369;0,910882294;0,936953325;0,910882294;0,917305561;0,921359245;0,917305561;0,017103129;0,021041477;0,017103129;0,051787835;0,046527682;0,051787835;0,029662229;0,025236432;0,029662229;0,030588276;0,029629657;0,030588276
breastw;Neural Network;0,935714286;0,945;0,944285714;0,86%;0,909296345;0,907444472;0,914633986;0,90702397;0,936953325;0,927063589;0,905747097;0,921359245;0,91891234;0,023328474;0,021041477;0,022028635;0,057898203;0,046527682;0,057622012;0,06009597;0,025236432;0,049353686;0,035552801;0,029629657;0,033670535
breastw;Random Forest;0,963571429;0,945;0,955714286;-0,79%;0,938859254;0,907444472;0,923291296;0,959288882;0,936953325;0,951825774;0,947807097;0,921359245;0,936334855;0,025962209;0,021041477;0,023999244;0,05459462;0,046527682;0,056528138;0,043223615;0,025236432;0,033795536;0,036886285;0,029629657;0,035909702
breastw;SVM;0,952142857;0,945;0,953571429;0,14%;0,910369778;0,907444472;0,915389778;0,954870547;0,936953325;0,952627167;0,931122339;0,921359245;0,932830577;0,01845814;0,021041477;0,019416079;0,049262412;0,046527682;0,050861996;0,031673193;0,025236432;0,028513865;0,028781701;0,029629657;0,031423334
ecoli;FOLD-R++ Pure;;0,95;;;;0,935872388;;;0,95500444;;;0,943945469;;;0,031919256;;;0,049730293;;;0,050063493;;;0,033855637;
ecoli;KNN;0,657352941;0,95;0,657352941;0,00%;0,611998576;0,935872388;0,611998576;0,546107727;0,95500444;0,546107727;0,574575278;0,943945469;0,574575278;0,040452316;0,031919256;0,040452316;0,07379381;0,049730293;0,07379381;0,060608408;0,050063493;0,060608408;0,052396837;0,033855637;0,052396837
ecoli;Neural Network;0,925;0,95;0,947058824;2,21%;0,908808969;0,935872388;0,927992058;0,916481197;0,95500444;0,952453311;0,911424833;0,943945469;0,939265633;0,03565313;0,031919256;0,025186731;0,059885132;0,049730293;0,039147285;0,052940304;0,050063493;0,038923311;0,045140065;0,033855637;0,026427217
ecoli;Random Forest;0,963235294;0,95;0,964705882;0,15%;0,963510788;0,935872388;0,957935867;0,952641399;0,95500444;0,962244978;0,957665168;0,943945469;0,959593182;0,026169309;0,031919256;0,022140372;0,025838379;0,049730293;0,028624823;0,042469408;0,050063493;0,037569374;0,029696031;0,033855637;0,024457044
ecoli;SVM;0,570588235;0,95;0,877941176;30,74%;0,345416667;0,935872388;0,900514161;0,184164233;0,95500444;0,797499004;0,233745888;0,943945469;0,83107081;0,069600939;0,031919256;0,120482578;0,243751203;0,049730293;0,073846803;0,150792526;0,050063493;0,243816172;0,184465416;0,033855637;0,177623657
heart;FOLD-R++ Pure;;0,742592593;;;;0,749919922;;;0,785411927;;;0,76393706;;;0,063822504;;;0,077594727;;;0,085376239;;;0,06180972;
heart;KNN;0,642592593;0,742592593;0,642592593;0,00%;0,647375242;0,749919922;0,647375242;0,745311996;0,785411927;0,745311996;0,689652518;0,76393706;0,689652518;0,053848959;0,063822504;0,053848959;0,067784167;0,077594727;0,067784167;0,061484482;0,085376239;0,061484482;0,044878093;0,06180972;0,044878093
heart;Neural Network;0,809259259;0,742592593;0,801851852;-0,74%;0,847006823;0,749919922;0,830375976;0,785811203;0,785411927;0,787638749;0,812191969;0,76393706;0,806532302;0,034973372;0,063822504;0,049421281;0,049511636;0,077594727;0,068429727;0,081123933;0,085376239;0,072345512;0,045142629;0,06180972;0,057023821
heart;Random Forest;0,794444444;0,742592593;0,794444444;0,00%;0,791375661;0,749919922;0,783521222;0,837575904;0,785411927;0,84986958;0,812448192;0,76393706;0,813932566;0,043165762;0,063822504;0,056877281;0,048185052;0,077594727;0,063118189;0,059511403;0,085376239;0,07127801;0,042956198;0,06180972;0,056885138
heart;SVM;0,635185185;0,742592593;0,711111111;7,59%;0,618008525;0,749919922;0,702979366;0,838359323;0,785411927;0,804100373;0,709613405;0,76393706;0,747575529;0,052414641;0,063822504;0,073661402;0,06222777;0,077594727;0,081606096;0,061017876;0,085376239;0,082671329;0,048184031;0,06180972;0,067179199
autism;FOLD-R++ Pure;;0,934042553;;;;0,944558805;;;0,965706081;;;0,954899406;;;0,020350203;;;0,015767837;;;0,020842244;;;0,014545215;
autism;KNN;0,873758865;0,934042553;0,873758865;0,00%;0,892518717;0,944558805;0,892518717;0,939469715;0,965706081;0,939469715;0,915224307;0,954899406;0,915224307;0,015609999;0,020350203;0,015609999;0,015586201;0,015767837;0,015586201;0,018729395;0,020842244;0,018729395;0,011126027;0,014545215;0,011126027
autism;Neural Network;0,975177305;0,934042553;0,976595745;0,14%;0,978806296;0,944558805;0,979810776;0,987324508;0,965706081;0,988295382;0,982976139;0,954899406;0,983946683;0,013477251;0,020350203;0,012077579;0,015887865;0,015767837;0,016795461;0,007906649;0,020842244;0,00610238;0,009110838;0,014545215;0,008173096
autism;Random Forest;0,973758865;0,934042553;0,960992908;-1,28%;0,974097313;0,944558805;0,965710801;0,990189099;0,965706081;0,981361626;0,981994804;0,954899406;0,97330029;0,015699251;0,020350203;0,013477251;0,017093161;0,015767837;0,019711726;0,011338651;0,020842244;0,012553551;0,011047112;0,014545215;0,009422029
autism;SVM;0,726241135;0,934042553;0,941134752;21,49%;0,726241135;0,944558805;0,935333581;1;0,965706081;0,987227361;0,841306605;0,954899406;0,960509082;0,017436491;0,020350203;0,018629682;0,017436491;0,015767837;0,017640174;0;0,020842244;0,01250587;0,011738083;0,014545215;0,012792424
student_depression;FOLD-R++ Pure;;0,822021143;;;;0,809464434;;;0,744928782;;;0,7757957;;;0,004880093;;;0,006660776;;;0,011838845;;;0,006755342;
student_depression;KNN;0,752929583;0,822021143;0,752929583;0,00%;0,727451327;0,809464434;0,727451327;0,643733206;0,744928782;0,643733206;0,682981518;0,7757957;0,682981518;0,004913168;0,004880093;0,004913168;0,007931299;0,006660776;0,007931299;0,008006547;0,011838845;0,008006547;0,00472916;0,006755342;0,00472916
student_depression;Neural Network;0,845117362;0,822021143;0,842196739;-0,29%;0,833469455;0,809464434;0,832084481;0,782395893;0,744928782;0,775032386;0,806743778;0,7757957;0,80231976;0,003918529;0,004880093;0,004682379;0,015859779;0,006660776;0,009925333;0,022146394;0,011838845;0,019790099;0,006633692;0,006755342;0,007858214
student_depression;Random Forest;0,841049991;0,822021143;0,836427164;-0,46%;0,82396148;0,809464434;0,819480567;0,782803637;0,744928782;0,775101252;0,80283074;0,7757957;0,796627846;0,00496876;0,004880093;0,003266387;0,00773058;0,006660776;0,005744382;0,008275979;0,011838845;0,010471677;0,006513171;0,006755342;0,005822911
student_depression;SVM;0,843003046;0,822021143;0,846944992;0,39%;0,832501482;0,809464434;0,831420586;0,77658949;0,744928782;0,790004424;0,803544783;0,7757957;0,810161178;0,004677615;0,004880093;0,005216277;0,008184107;0,006660776;0,007064461;0,006708434;0,011838845;0,008653859;0,005357779;0,006755342;0,006568563
